Text,Label
"Finish reading a book this week.",goal
"Start a new project at work.",goal
"Exercise for 30 minutes every day.",goal
"Learn a new programming language.",goal
"Meditate for 10 minutes each morning.",goal
"Reduce screen time by 30% each day.",goal
"Overcome fear of public speaking.",goal
"Deal with increasing work stress.",goal
"Save money for a future vacation.",goal
"Volunteer at a local animal shelter.",goal
"Write a novel during NaNoWriMo.",goal
"Learn to play a musical instrument.",goal
"Start a podcast on a topic of interest.",goal
"Adopt a more sustainable lifestyle.",goal
"Attend a professional development seminar.",goal
"Learn a new language for upcoming travel.",goal
"Start a small vegetable garden.",goal
"Join a local community volunteer group.",goal
"Maintain a consistent sleep schedule.",goal
"Schedule regular dental check-ups.",goal
"Follow a basic skincare routine.",goal
"Plan a surprise party for a friend.",goal
"Train for a 5k race.",goal
"Restart a hobby I stopped last year.", goal
"Send thank you cards to friends.", goal
"Redecorate a room in my house.", goal
"Take my dog to training classes.", goal
"Fix a squeaky door in my home.", non-goal
"Call my parents this weekend.", non-goal
"Buy groceries for the week.", non-goal
"Pay my credit card bill.", non-goal
"Fill up my gas tank.", non-goal
"Went to the post office.", non-goal
"I love spending time with you.", non-goal
"The weather was nice today.", non-goal
"I had a good day at work.", non-goal
"Dinner was delicious.", non-goal
"Watch a movie tonight.", non-goal
"Go out for drinks on Friday.", non-goal
"Read the news online.", non-goal
"Take a nap this afternoon.", non-goal
"Catch up on sleep this weekend.", non-goal
"Play a video game later.", non-goal
"Scroll through social media.", non-goal
"Listen to a podcast while cooking.", non-goal
"Text a friend back.", non-goal
"Pay the monthly bills.", non-goal
"Pack a lunch for tomorrow.", non-goal
"Get the mail from the mailbox.", non-goal
"Pick up dry cleaning.", non-goal
"I love you.", non-goal
"Call mom on her birthday." non-goal
"Spend time with family." non-goal
"Make dinner plans for Saturday." non-goal
"Visit the park on Sunday." non-goal
"Respond to work emails." non-goal
"Take my car to be serviced." non-goal
"Subscribe to a new streaming service." non-goal
"Refill prescription medication." non-goal
"Upload photos from vacation." non-goal
"Clean out the fridge." non-goal
"Purchase airline tickets for upcoming trip." non-goal
"Send a birthday card to my niece." non-goal
"Schedule oil change for car." non-goal
"Prepare taxes before the deadline." non-goal
"Meet a friend for coffee." non-goal
"Pick up things on the grocery list." non-goal
"Research replacing the roof." non-goal
"Look for new shoes online." non-goal
"Contribute to retirement fund." non-goal
"Buy a gift for my partner." non-goal
"Submit expense report for work." non-goal
"Pay electricity bill online." non-goal
"Plant flowers in the garden." non-goal
"Buy a new outfit for an event." non-goal
"Catch up on chores around the house." non-goal
"Clean out the garage." non-goal
"Update my resume." non-goal
"Make dinner reservations." non-goal
"Book a hair appointment." non-goal